,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA
1,2022-08-14,22:00,La Liga,Matchweek 1,Sun,Away,W,2.0,1.0,Almería,2.1,0.7,67.0,14386.0,Karim Benzema,4-3-3,Juan Martínez,Match Report,6.0,5.0,83.3,0.0,0.7,-0.3,0.0,0.0,0.0,0.0,3.0,7.0,42.9,12.0,16.7,28.5,3.0,2.0,66.7,3.0,20.5,52.0,45.0,1.0,2.0,2.0,1.0,1.0,3.0
2,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Away,W,4.0,1.0,Celta Vigo,3.7,1.4,49.0,15681.0,Karim Benzema,4-3-3,Jesús Gil,Match Report,2.0,1.0,100.0,0.0,1.2,0.2,1.0,1.0,0.0,0.0,1.0,9.0,11.1,6.0,13.5,24.9,19.0,2.0,10.5,0.0,4.3,27.0,19.0,0.0,2.0,3.0,1.0,2.0,7.0
3,2022-08-28,22:00,La Liga,Matchweek 3,Sun,Away,W,3.0,1.0,Espanyol,2.1,1.3,64.0,25778.0,Karim Benzema,4-3-3,Mario Melero,Match Report,4.0,3.0,75.0,0.0,1.2,0.2,0.0,0.0,0.0,0.0,3.0,10.0,30.0,8.0,26.5,30.8,14.0,2.0,14.3,0.0,8.3,37.0,25.0,5.0,2.0,2.0,3.0,0.0,6.0
4,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,Betis,2.9,0.5,49.0,58579.0,Karim Benzema,4-3-3,José Sánchez,Match Report,4.0,3.0,75.0,0.0,0.3,-0.7,0.0,0.0,0.0,0.0,4.0,6.0,66.7,8.0,18.8,28.3,4.0,2.0,50.0,0.0,8.0,44.0,34.0,4.0,1.0,1.0,3.0,1.0,4.0
5,2022-09-06,20:00,Champions Lg,Group stage,Tue,Away,W,3.0,0.0,sct Celtic,1.8,1.3,64.0,57057.0,Karim Benzema,4-3-3,Sandro Schärer,Match Report,4.0,4.0,100.0,1.0,1.2,1.2,0.0,0.0,0.0,0.0,5.0,8.0,62.5,10.0,14.6,25.5,16.0,1.0,6.3,0.0,9.3,21.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0
6,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Home,W,4.0,1.0,Mallorca,2.3,0.5,68.0,54816.0,Toni Kroos,4-3-3,Jorge Figueroa,Match Report,2.0,1.0,50.0,0.0,0.3,-0.7,0.0,0.0,0.0,0.0,1.0,2.0,50.0,5.0,13.3,25.0,10.0,1.0,10.0,2.0,20.8,43.0,30.0,2.0,7.0,0.0,3.0,1.0,8.0
7,2022-09-14,21:00,Champions Lg,Group stage,Wed,Home,W,2.0,0.0,de RB Leipzig,0.9,0.7,52.0,54289.0,Nacho,4-3-3,Maurizio Mariani,Match Report,3.0,3.0,100.0,1.0,0.7,0.7,0.0,0.0,0.0,0.0,1.0,5.0,20.0,6.0,9.4,24.3,11.0,2.0,18.2,1.0,13.8,22.0,13.0,3.0,1.0,1.0,4.0,0.0,3.0
8,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Away,W,2.0,1.0,Atlético Madrid,0.9,1.0,46.0,66881.0,Luka Modrić,4-3-3,José Luis Munuera,Match Report,4.0,3.0,75.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,7.0,12.0,58.3,7.0,27.5,35.5,18.0,1.0,5.6,0.0,4.3,12.0,6.0,2.0,0.0,1.0,2.0,1.0,3.0
9,2022-10-02,21:00,La Liga,Matchweek 7,Sun,Home,D,1.0,1.0,Osasuna,2.5,0.5,64.0,55410.0,Karim Benzema,4-3-3,Guillermo Cuadra,Match Report,2.0,1.0,50.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,20.7,5.0,0.0,0.0,0.0,21.0,44.0,34.0,4.0,1.0,1.0,3.0,1.0,2.0
10,2022-10-05,21:00,Champions Lg,Group stage,Wed,Home,W,2.0,1.0,ua Shakhtar,3.4,0.8,59.0,56011.0,Karim Benzema,4-3-3,Ivan Kružliak,Match Report,3.0,2.0,66.7,0.0,0.9,-0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.5,17.6,5.0,0.0,0.0,2.0,27.0,62.0,43.0,6.0,6.0,3.0,2.0,2.0,4.0
11,2022-10-08,21:00,La Liga,Matchweek 8,Sat,Away,W,1.0,0.0,Getafe,1.4,0.3,65.0,14502.0,Luka Modrić,4-3-3,Antonio Matéu Lahoz,Match Report,2.0,2.0,100.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,2.0,3.0,66.7,8.0,3.2,22.8,10.0,0.0,0.0,2.0,21.2,32.0,24.0,3.0,2.0,2.0,1.0,0.0,1.0
15,2022-10-22,21:00,La Liga,Matchweek 11,Sat,Home,W,3.0,1.0,Sevilla,3.0,0.5,56.0,59625.0,Luka Modrić,4-3-3,Alejandro Hernández,Match Report,2.0,1.0,50.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,2.0,5.0,40.0,2.0,14.3,24.5,6.0,1.0,16.7,1.0,15.8,34.0,26.0,2.0,2.0,1.0,1.0,2.0,6.0
16,2022-10-25,21:00,Champions Lg,Group stage,Tue,Away,L,2.0,3.0,de RB Leipzig,2.1,2.2,56.0,45228.0,Nacho,4-2-3-1,Daniele Orsato,Match Report,6.0,3.0,50.0,0.0,2.3,-0.7,0.0,0.0,0.0,0.0,4.0,5.0,80.0,4.0,9.5,22.0,8.0,0.0,0.0,3.0,24.2,22.0,19.0,0.0,2.0,0.0,1.0,0.0,4.0
17,2022-10-30,16:15,La Liga,Matchweek 12,Sun,Home,D,1.0,1.0,Girona,2.9,1.4,58.0,58367.0,Luka Modrić,4-3-3,Mario Melero,Match Report,2.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,50.0,2.0,17.4,23.9,10.0,0.0,0.0,0.0,19.0,34.0,26.0,2.0,2.0,3.0,1.0,0.0,1.0
18,2022-11-02,18:45,Champions Lg,Group stage,Wed,Home,W,5.0,1.0,sct Celtic,3.8,2.1,64.0,52511.0,Luka Modrić,4-3-3,Stéphanie Frappart,Match Report,8.0,6.0,87.5,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,50.0,8.0,14.6,24.5,11.0,1.0,9.1,0.0,7.5,44.0,37.0,1.0,2.0,4.0,0.0,0.0,6.0
19,2022-11-07,21:00,La Liga,Matchweek 13,Mon,Away,L,2.0,3.0,Rayo Vallecano,2.4,1.5,54.0,14216.0,Luka Modrić,4-3-3,Juan Martínez,Match Report,7.0,4.0,71.4,0.0,2.5,-0.5,1.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,12.9,28.2,15.0,1.0,6.7,1.0,20.7,29.0,21.0,2.0,0.0,2.0,2.0,2.0,4.0
20,2022-11-10,21:30,La Liga,Matchweek 14,Thu,Home,W,2.0,1.0,Cádiz,2.0,0.9,66.0,53190.0,Luka Modrić,4-3-3,César Soto,Match Report,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,6.0,27.6,29.8,8.0,1.0,12.5,2.0,15.4,34.0,29.0,2.0,1.0,0.0,1.0,1.0,4.0
